id,timestamp,remote_addr,remote_user,hostname,time_local,request,status,body_bytes_sent,http_referer,http_user_agent,http_x_forwarded_for,time_iso8601,request_method,request_length,bytes_sent,http_referer2,request_time,upstream_connect_time,upstream_header_time,upstream_response_time,upstream_addr,upstream_status,connection,connection_requests,data.srcip,agent.ip,rule.mitre.tactic
1620,"Aug 29, 2023 @ 22:55:58.702",36.85.60.240,-,vm-director-nginx,30/Aug/2023:05:55:57 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.101 Safari/537.36",-,2023-08-30T05:55:57+07:00,GET,80,330,-,0.002,0,0.001,0.001,10.45.184.148:32442,404,688616470,2,36.85.60.240,192.168.1.99,"[""non-attack""]"
1621,"Aug 29, 2023 @ 22:55:46.674",103.127.65.38,-,vm-director-nginx,30/Aug/2023:05:55:44 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:55:44+07:00,GET,355,330,-,0.002,0.001,0.002,0.002,10.45.184.148:32442,404,688615925,3,103.127.65.38,192.168.1.99,"[""non-attack""]"
1622,"Aug 29, 2023 @ 22:56:00.696",125.166.3.42,-,vm-director-nginx,30/Aug/2023:05:55:58 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/116.0,-,2023-08-30T05:55:58+07:00,GET,35,330,-,0.003,0,0.001,0.001,10.45.184.148:32442,404,688615682,7,125.166.3.42,192.168.1.99,"[""non-attack""]"
1623,"Aug 29, 2023 @ 22:56:04.709",36.68.220.122,-,vm-director-nginx,30/Aug/2023:05:56:04 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T05:56:04+07:00,GET,87,330,-,0.002,0,0.001,0.001,10.45.184.154:32442,404,688616511,2,36.68.220.122,192.168.1.99,"[""non-attack""]"
1624,"Aug 29, 2023 @ 22:55:40.684",103.171.147.116,-,vm-director-nginx,30/Aug/2023:05:55:38 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:55:38+07:00,GET,83,330,-,0.003,0.001,0.003,0.003,10.45.184.148:32442,404,688616017,2,103.171.147.116,192.168.1.99,"[""non-attack""]"
1625,"Aug 29, 2023 @ 22:56:24.754",114.5.247.105,-,vm-director-nginx,30/Aug/2023:05:56:23 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:56:23+07:00,GET,88,330,-,0.002,0,0.001,0.001,10.45.184.148:32442,404,688617239,2,114.5.247.105,192.168.1.99,"[""non-attack""]"
1626,"Aug 29, 2023 @ 22:56:24.769",118.99.125.5,-,vm-director-nginx,30/Aug/2023:05:56:23 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:56:23+07:00,GET,85,330,-,0.002,0,0.001,0.001,10.45.184.148:32442,404,688617234,2,118.99.125.5,192.168.1.99,"[""non-attack""]"
1627,"Aug 29, 2023 @ 22:56:24.788",125.166.0.198,-,vm-director-nginx,30/Aug/2023:05:56:24 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36",-,2023-08-30T05:56:24+07:00,GET,75,330,-,0.001,0.001,0.002,0.002,10.45.184.148:32442,404,688617290,2,125.166.0.198,192.168.1.99,"[""non-attack""]"
1628,"Aug 29, 2023 @ 22:56:26.738",180.248.27.39,-,vm-director-nginx,30/Aug/2023:05:56:25 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 13; SAMSUNG SM-A715F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/22.0 Chrome/111.0.5563.116 Mobile Safari/537.36",-,2023-08-30T05:56:25+07:00,GET,122,330,-,0.002,0.001,0.002,0.002,10.45.184.154:32442,404,688617315,2,180.248.27.39,192.168.1.99,"[""non-attack""]"
1629,"Aug 29, 2023 @ 22:56:24.750",114.5.244.11,-,vm-director-nginx,30/Aug/2023:05:56:23 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 12; M2103K19G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:56:23+07:00,GET,82,330,-,0.004,0,0.004,0.004,10.45.184.154:32442,404,688617241,2,114.5.244.11,192.168.1.99,"[""non-attack""]"
1630,"Aug 29, 2023 @ 22:56:12.734",202.80.215.72,-,vm-director-nginx,30/Aug/2023:05:56:10 +0700,GET /auth/resources/ofl9o/login/ub/ HTTP/2.0,404,118,-,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Mobile Safari/537.36",-,2023-08-30T05:56:10+07:00,GET,72,330,-,0.002,0.001,0.002,0.002,10.45.184.154:32442,404,688616845,2,202.80.215.72,192.168.1.99,"[""non-attack""]"
